src,duration,link
"audio/music/Stuck In Traffic ｜ Jazzy Beats Playlist.mp3",4058,"https://youtu.be/6dAAPBanCuY"
"audio/music/Lazy Sunday ｜ Jazzy Beats ｜ 1 Hour Playlist.mp3",4775,"https://youtu.be/lYrLM-6Zj80"
"audio/music/Loungin' ｜ Jazzy Beats ｜ 1 Hour Playlist.mp3",5259,"https://youtu.be/LNCBbv2p4ZQ"
"audio/music/NK Music - Andromeda [Full BeatTape].mp3",5208,"https://youtu.be/HMLguRWAMSc"
"audio/music/Space Jazz ｜ Jazzy Beats ｜ 1 Hour Playlist.mp3",3604,"https://youtu.be/dJTUe_WDgro"
